GLOBALEVENTID,SQLDATE,Actor1Name,AvgTone
749344127,20180420,MONSANTO,-0.909090909
749344130,20180420,MONSANTO,-0.909090909
749344124,20180420,MONSANTO,-0.909090909
749344128,20180420,MONSANTO,-0.909090909
749388822,20180420,STARBUCKS,-0.903614458
749330374,20180420,BOEING,-0.89047195
749330375,20180420,BOEING,-0.89047195
749324709,20180420,MICROSOFT,-0.882352941
749234601,20180420,SOUTHWEST AIRLINES,-0.877192982
749234594,20180420,SOUTHWEST AIRLINES,-0.877192982
749420461,20180420,BRISTOL MYERS SQUIBB,-0.877192982
749420460,20180420,BRISTOL MYERS SQUIBB,-0.877192982
749250463,20180420,STARBUCKS,-0.862068966
749227182,20180420,MICROSOFT,-0.857142857
749396708,20180420,BLACKROCK,-0.847457627
749495724,20180420,VERIZON,-0.833333333
749346207,20180420,SOUTHWEST AIRLINES,-0.833333333
749493021,20180420,LOCKHEED MARTIN,-0.819672131
749330381,20180420,MOTOROLA,-0.808625337
749330383,20180420,MOTOROLA,-0.808625337
749256055,20180420,MICROSOFT,-0.808625337
749349841,20180420,RAYTHEON,-0.806451613
749349842,20180420,RAYTHEON,-0.806451613
749253341,20180420,DISNEY,-0.803212851
749253343,20180420,COMCAST,-0.803212851
749234592,20180420,SOUTHWEST AIRLINES,-0.8
749344135,20180420,GOOGLE,-0.8
749234593,20180420,SOUTHWEST AIRLINES,-0.8
749290298,20180420,GOOGLE,-0.792751982
749284268,20180420,MATTEL,-0.787401575
749220223,20180420,MATTEL,-0.78125
749426112,20180420,QUALCOMM,-0.78125
749267339,20180420,BOEING,-0.770218228
749267338,20180420,BOEING,-0.770218228
749472725,20180420,STARBUCKS,-0.769230769
749237918,20180420,GOOGLE,-0.763636364
749237920,20180420,GOOGLE,-0.763636364
749412627,20180420,BLACKROCK,-0.763105508
749435546,20180420,MORGAN STANLEY,-0.751879699
749314043,20180420,BOEING,-0.749625187
749314042,20180420,BOEING,-0.749625187
749217975,20180420,CAMPBELL SOUP COMPANY,-0.735294118
749400602,20180420,SIMON PROPERTY GROUP INC,-0.734394125
749344122,20180420,MONSANTO,-0.732655502
749303554,20180420,COSTCO,-0.71942446
749217986,20180420,COMCAST,-0.716845878
749217985,20180420,COMCAST,-0.716845878
749239291,20180420,BOEING,-0.713266762
749408863,20180420,MATTEL,-0.709219858
749376034,20180420,SOUTHWEST AIRLINES,-0.707213579
749485616,20180420,MATTEL,-0.682593857
749212526,20180420,MATTEL,-0.671148497
749476338,20180420,NETFLIX,-0.67114094
749410834,20180420,QUALCOMM,-0.67114094
749244270,20180420,ALLIANCE RESOURCE PARTNERS,-0.666666667
749244269,20180420,ALLIANCE RESOURCE PARTNERS,-0.666666667
749369118,20180420,GOOGLE,-0.660066007
749369122,20180420,GOOGLE,-0.660066007
749369121,20180420,GOOGLE,-0.660066007
749435548,20180420,DISNEY,-0.644641418
749435549,20180420,DISNEY,-0.644641418
749373540,20180420,STARBUCKS,-0.636132316
749420459,20180420,MONSANTO,-0.629590766
749502449,20180420,MATTEL,-0.626732999
749495733,20180420,GOOGLE,-0.602409639
749495732,20180420,GOOGLE,-0.602409639
749258908,20180420,BANK OF AMERICA,-0.597609562
749258912,20180420,BANK OF AMERICA,-0.597609562
749427885,20180420,VERIZON,-0.597014925
749288862,20180420,WHITING PETROLEUM,-0.595238095
749288869,20180420,EXXON,-0.590938936
749439688,20180420,GOOGLE,-0.582072177
749244267,20180420,MATTEL,-0.571428571
749244268,20180420,MATTEL,-0.571428571
749477929,20180420,BOEING,-0.563380282
749477928,20180420,BOEING,-0.563380282
749472728,20180420,COMCAST,-0.561167228
749472735,20180420,COMCAST,-0.561167228
749472733,20180420,COMCAST,-0.561167228
749472732,20180420,COMCAST,-0.561167228
749472736,20180420,COMCAST,-0.561167228
749454622,20180420,SOUTHWEST AIRLINES,-0.534759358
749454621,20180420,SOUTHWEST AIRLINES,-0.534759358
749454620,20180420,SOUTHWEST AIRLINES,-0.534759358
749435557,20180420,GOOGLE,-0.525131283
749236064,20180420,SOUTHWEST AIRLINES,-0.511945392
749392712,20180420,SOUTHWEST AIRLINES,-0.495049505
749392715,20180420,SOUTHWEST AIRLINES,-0.495049505
749251827,20180420,LOCKHEED MARTIN,-0.494641385
749388826,20180420,BRISTOL MYERS SQUIBB,-0.483091787
749392711,20180420,WELLS FARGO,-0.480769231
749435552,20180420,STARBUCKS,-0.442477876
749344121,20180420,MONSANTO,-0.438596491
749344129,20180420,MONSANTO,-0.438596491
749344126,20180420,MONSANTO,-0.438596491
